Reino;Nombre Cinetífico;Nombre Común;Estado de Conservación vigente;URL Ficha;
"Animalia";"Cathartes aura";"Jote de cabeza colorada";"";"https://simbio.mma.gob.cl/Especies/Details/4893";
"Animalia";"Mycteria americana";"Cigüeña de cabeza pelada";"";"https://simbio.mma.gob.cl/Especies/Details/4894";
"Animalia";"Coragyps atratus";"Jote de cabeza negra";"";"https://simbio.mma.gob.cl/Especies/Details/4895";
"Animalia";"Fregetta tropica";"Golondrina de mar de vientre negro";"";"https://simbio.mma.gob.cl/Especies/Details/4896";
"Animalia";"Fregetta grallaria";"Golondrina de mar de vientre blanco";"En Peligro (EN)";"https://simbio.mma.gob.cl/Especies/Details/4897";
"Animalia";"Garrodia nereis";"Golondrina de mar subantártica";"";"https://simbio.mma.gob.cl/Especies/Details/4898";
"Animalia";"Pelagodroma marina";"Golondrina de mar de ceja blanca";"";"https://simbio.mma.gob.cl/Especies/Details/4899";
"Animalia";"Oceanodroma markhami";"Golondrina de mar negra";"En Peligro (EN)";"https://simbio.mma.gob.cl/Especies/Details/4900";
"Animalia";"Oceanodroma hornbyi";"Golondrina de mar de collar";"";"https://simbio.mma.gob.cl/Especies/Details/4901";
"Animalia";"Nycticryphes semicollaris";"Becacina pintada";"En Peligro (EN)";"https://simbio.mma.gob.cl/Especies/Details/4903";
"Animalia";"Podiceps gallardoi";"Pimpollo tobiano";"";"https://simbio.mma.gob.cl/Especies/Details/4904";
"Animalia";"Podiceps major";"Huala";"";"https://simbio.mma.gob.cl/Especies/Details/4905";
"Animalia";"Podiceps occipitalis";"Blanquillo";"";"https://simbio.mma.gob.cl/Especies/Details/4906";
"Animalia";"Podilymbus podiceps";"Picurio";"";"https://simbio.mma.gob.cl/Especies/Details/4907";
"Animalia";"Pluvianellus socialis";"Chorlo de Magallanes";"Rara";"https://simbio.mma.gob.cl/Especies/Details/4908";
"Animalia";"Burhinus superciliaris";"Chorlo cabezón";"";"https://simbio.mma.gob.cl/Especies/Details/4909";
"Animalia";"Corvus splendens";"Cuervo";"";"https://simbio.mma.gob.cl/Especies/Details/4910";
"Animalia";"Tachuris rubrigastra";"Siete Colores";"";"https://simbio.mma.gob.cl/Especies/Details/4912";
"Animalia";"Anairetes reguloides";"Cachudito de cresta blanca";"";"https://simbio.mma.gob.cl/Especies/Details/4913";
"Animalia";"Anairetes flavirostris";"Cachudito del norte";"";"https://simbio.mma.gob.cl/Especies/Details/4914";
"Animalia";"Anairetes parulus";"Cachudito";"";"https://simbio.mma.gob.cl/Especies/Details/4915";
"Animalia";"Anairetes fernandezianus";"Cachudito de Juan Fernández";"En Peligro (EN)";"https://simbio.mma.gob.cl/Especies/Details/4916";
"Animalia";"Xolmis pyrope";"Diucón";"";"https://simbio.mma.gob.cl/Especies/Details/4917";
"Animalia";"Pitangus sulphuratus";"Benteveo";"";"https://simbio.mma.gob.cl/Especies/Details/4918";
"Animalia";"Machetornis rixosa";"Picabuey";"";"https://simbio.mma.gob.cl/Especies/Details/4919";
"Animalia";"Neoxolmis rufiventris";"Cazamoscas chocolate";"";"https://simbio.mma.gob.cl/Especies/Details/4920";
"Animalia";"Ochthoeca oenanthoides";"Pitajo rojizo";"";"https://simbio.mma.gob.cl/Especies/Details/4921";
"Animalia";"Ochthoeca leucophrys";"Pitajo gris";"";"https://simbio.mma.gob.cl/Especies/Details/4922";
"Animalia";"Megarynchus pitangua";"Pitangua";"";"https://simbio.mma.gob.cl/Especies/Details/4923";
"Animalia";"Agriornis lividus";"Mero";"";"https://simbio.mma.gob.cl/Especies/Details/4924";
"Animalia";"Agriornis murinus";"Mero chico";"";"https://simbio.mma.gob.cl/Especies/Details/4925";
"Animalia";"Agriornis micropterus";"Mero de Tarapacá";"";"https://simbio.mma.gob.cl/Especies/Details/4926";
"Animalia";"Agriornis montanus";"Mero gaucho";"";"https://simbio.mma.gob.cl/Especies/Details/4927";
"Animalia";"Myiodynastes luteiventris";"Benteveo de vientre azufre";"";"https://simbio.mma.gob.cl/Especies/Details/4928";
"Animalia";"Myiodynastes maculatus";"Benteveo chico";"";"https://simbio.mma.gob.cl/Especies/Details/4929";
"Animalia";"Pyrocephalus rubinus";"Sacatureal";"";"https://simbio.mma.gob.cl/Especies/Details/4930";
"Animalia";"Muscisaxicola flavinucha";"Dormilona fraile";"";"https://simbio.mma.gob.cl/Especies/Details/4931";
"Animalia";"Muscisaxicola albifrons";"Dormilona gigante";"";"https://simbio.mma.gob.cl/Especies/Details/4932";
"Animalia";"Muscisaxicola frontalis";"Dormilona de frente negra";"";"https://simbio.mma.gob.cl/Especies/Details/4933";
"Animalia";"Muscisaxicola maculirostris";"Dormilona chica";"";"https://simbio.mma.gob.cl/Especies/Details/4934";
"Animalia";"Muscisaxicola cinereus";"Dormilona cenicienta";"";"https://simbio.mma.gob.cl/Especies/Details/4935";
"Animalia";"Muscisaxicola capistratus";"Dormilona rufa";"";"https://simbio.mma.gob.cl/Especies/Details/4936";
"Animalia";"Muscisaxicola albilora";"Dormilona de ceja blanca";"";"https://simbio.mma.gob.cl/Especies/Details/4937";
"Animalia";"Muscisaxicola juninensis";"Dormilona de la puna";"";"https://simbio.mma.gob.cl/Especies/Details/4938";
"Animalia";"Muscisaxicola rufivertex";"Dormilona de nuca rojiza";"";"https://simbio.mma.gob.cl/Especies/Details/4939";
"Animalia";"Muscisaxicola maclovianus";"Dormilona tontito";"";"https://simbio.mma.gob.cl/Especies/Details/4940";
"Animalia";"Muscigralla brevicauda";"Cazamoscas de cola corta";"";"https://simbio.mma.gob.cl/Especies/Details/4941";
