REGIÓN;NOMBRE COMÚN;NOMBRE CIENTÍFICO;REINO;CLASE;ENDÉMICA respecto de Chile;CATEGORÍA VIGENTE
Maule (VII);Sapo hermoso;Telmatobufo venustus;Animalia;Amphibia;Sí;EN
Ñuble (XVI);;Nigroperla costalis;Animalia;Insecta;Sí;CR
Ñuble  (XVI);Ranita ;Rhinoderma rufum;Animalia;Amphibia;Sí;CR
Ñuble (XVI);Pancora;Aegla concepcionensis;Animalia;Malacostraca;Sí;EN
Ñuble  (XVI);Pancora;Aegla laevis;Animalia;Malacostraca;Sí;EN
Ñuble  (XVI);Bagrecito;Bullockia maldonadoi;Animalia;Actinopterygii;Sí;EN
Ñuble  (XVI);Cascarudo de la Plata;Callyntra planiuscula;Animalia;Insecta;Sí;EN
Ñuble  (XVI);Borrachito de Tolhuaca, borrachito listado de Tolhuaca;Erichius virgatus;Animalia;Insecta;Sí;EN
Ñuble  (XVI);Lagartija pintada septentrional, Northern Painted Lizard (Inglés);Liolaemus septentrionalis;Animalia;Reptilia;Sí;EN
Ñuble  (XVI);Lamprea de agua dulce;Mordacia lapicida;Animalia;Cephalaspidomorphi;Sí;EN
Ñuble  (XVI);Bagre grande;Nematogenys inermis;Animalia;Actinopterygii;Sí;EN
Ñuble  (XVI);Carmelita;Percilia gillissi;Animalia;Actinopterygii;Sí;EN
Ñuble  (XVI);Caracol de árbol araucano, caracol de árbol;Plectostylus araucanus;Animalia;Gastropoda;Sí;EN
Ñuble  (XVI);Sapo hermoso;Telmatobufo venustus;Animalia;Amphibia;Sí;EN
Bío-Bío (VIII);Araña (genérico);Acanthogonatus hualpen;Animalia;Arachnida;Sí;CR
Bío-Bío (VIII);Sapo de pecho espinoso de Malleco;Alsodes vittatus;Animalia;Amphibia;Sí;CR
Bío-Bío (VIII);Caracol de concha piramidal;Chellius piramidalis;Animalia;Gastropoda;Sí;CR
Bío-Bío (VIII);Cantárida, ciervo volante peludo;Chiasognathus jousselini;Animalia;Insecta;Sí;CR
Bío-Bío (VIII);Lagartija de Herman Núñez;Liolaemus hermannunezi;Animalia;Reptilia;Sí;CR
Bío-Bío (VIII);;Nigroperla costalis;Animalia;Insecta;Sí;CR
Bío-Bío (VIII);Matuasto del Laja, matuasto vociferador;Phymaturus vociferator;Animalia;Reptilia;Sí;CR
Bío-Bío (VIII);Caracol costilludo de Hualpén;Pichikadi hualpensis;Animalia;Gastropoda;Sí;CR
Bío-Bío (VIII);Ranita ;Rhinoderma rufum;Animalia;Amphibia;Sí;CR
Bío-Bío (VIII);Pancora;Aegla bahamondei;Animalia;Malacostraca;Sí;EN
Bío-Bío (VIII);Pancora;Aegla concepcionensis;Animalia;Malacostraca;Sí;EN
Bío-Bío (VIII);Pancora;Aegla expansa;Animalia;Malacostraca;Sí;EN
Bío-Bío (VIII);Pancora;Aegla laevis;Animalia;Malacostraca;Sí;EN
Bío-Bío (VIII);Pancora;Aegla occidentalis;Animalia;Malacostraca;Sí;EN
Bío-Bío (VIII);Sapo de Barros;Alsodes barrioi;Animalia;Amphibia;Sí;EN-RARA
Bío-Bío (VIII);Típula pintada;Alyma quiriquinaensis;Animalia;Insecta;Sí;EN
Bío-Bío (VIII);Liguay, sanguijuela gigante valdiviana;Americobdella valdiviana;Animalia;Clitellata;Sí;EN
Bío-Bío (VIII);Peladilla;Aplochiton zebra;Animalia;Actinopterygii;Sí;EN
Bío-Bío (VIII);Bagrecito;Bullockia maldonadoi;Animalia;Actinopterygii;Sí;EN
Bío-Bío (VIII);Pocha;Cheirodon kiliani;Animalia;Actinopterygii;Sí;EN-RARA
Bío-Bío (VIII);Chanchito blanco de la araucaria;Chileputo chilensis;Animalia;Insecta;Sí;EN 
Bío-Bío (VIII);Tollo ;Diplomystes nahuelbutaensis;Animalia;Actinopterygii;Sí;EN
Bío-Bío (VIII);Borrachito de Tolhuaca, borrachito listado de Tolhuaca;Erichius virgatus;Animalia;Insecta;Sí;EN
Bío-Bío (VIII);Sapo de Contulmo;Eupsophus contulmoensis;Animalia;Amphibia;Sí;EN
