REGIÓN;NOMBRE COMÚN;NOMBRE CIENTÍFICO;REINO;CLASE;ENDÉMICA respecto de Chile;CATEGORÍA VIGENTE
Bío-Bío (VIII);Bagrecito;Trichomycterus chiltoni;Animalia;Actinopterygii;Sí;EN-RARA
Araucanía (IX);Sapo de Barros;Alsodes barrioi;Animalia;Amphibia;Sí;EN-RARA
Araucanía (IX);Liguay, sanguijuela gigante valdiviana;Americobdella valdiviana;Animalia;Clitellata;Sí;EN
Araucanía (IX);Peladilla;Aplochiton zebra;Animalia;Actinopterygii;Sí;EN
Araucanía (IX);Bagrecito;Bullockia maldonadoi;Animalia;Actinopterygii;Sí;EN
Araucanía (IX);Chanchito blanco de la araucaria;Chileputo chilensis;Animalia;Insecta;Sí;EN 
Araucanía (IX);Tollo;Diplomystes camposensis;Animalia;Actinopterygii;Sí;EN
Araucanía (IX);Tollo ;Diplomystes nahuelbutaensis;Animalia;Actinopterygii;Sí;EN
Araucanía (IX);Sapo de Contulmo;Eupsophus contulmoensis;Animalia;Amphibia;Sí;EN
Araucanía (IX);Sapo de Miguel;Eupsophus migueli;Animalia;Amphibia;Sí;EN-RARA
Araucanía (IX);Sapo de Nahuelbuta;Eupsophus nahuelbutensis;Animalia;Amphibia;Sí;EN-RARA
Araucanía (IX);Sapo ;Insuetophrynus acarpicus;Animalia;Amphibia;Sí;EN-RARA
Araucanía (IX);Lagartija de Leftraru, Leftraru’s Lizard (Inglés);Liolaemus leftrarui;Animalia;Reptilia;Sí;EN
Araucanía (IX);Lagartija;Liolaemus villaricensis;Animalia;Reptilia;Sí;EN
Araucanía (IX);Zorro de Chiloé;Lycalopex fulvipes;Animalia;Mammalia;Sí;EN
Araucanía (IX);Lamprea de agua dulce;Mordacia lapicida;Animalia;Cephalaspidomorphi;Sí;EN
Araucanía (IX);Bagre grande;Nematogenys inermis;Animalia;Actinopterygii;Sí;EN
Araucanía (IX);Carmelita;Percilia gillissi;Animalia;Actinopterygii;Sí;EN
Araucanía (IX);Caracol de árbol araucano, caracol de árbol;Plectostylus araucanus;Animalia;Gastropoda;Sí;EN
Araucanía (IX);Mosca florícola valdiviana gigante;Valdiviomyia gigantea;Animalia;Insecta;Sí;EN
De Los Ríos (XIV);Rana de pecho espinoso de Cordillera Pelada;Alsodes valdiviensis;Animalia;Amphibia;Sí;EN
De Los Ríos (XIV);Liguay, sanguijuela gigante valdiviana;Americobdella valdiviana;Animalia;Clitellata;Sí;EN
De Los Ríos (XIV);Peladilla;Aplochiton zebra;Animalia;Actinopterygii;Sí;EN
De Los Ríos (XIV);Pocha;Cheirodon kiliani;Animalia;Actinopterygii;Sí;EN-RARA
De Los Ríos (XIV);Tollo;Diplomystes camposensis;Animalia;Actinopterygii;Sí;EN
De Los Ríos (XIV);Rana de hojarasca de Oncol;Eupsophus altor;Animalia;Amphibia;Sí;EN
De Los Ríos (XIV);Sapo de Miguel;Eupsophus migueli;Animalia;Amphibia;Sí;EN-RARA
De Los Ríos (XIV);Sapo ;Insuetophrynus acarpicus;Animalia;Amphibia;Sí;EN-RARA
De Los Ríos (XIV);Mosca colibrí enana;Lasia pulla;Animalia;Insecta;Sí;EN
De Los Ríos (XIV);Zorro de Chiloé;Lycalopex fulvipes;Animalia;Mammalia;Sí;EN
De Los Ríos (XIV);Lamprea de agua dulce;Mordacia lapicida;Animalia;Cephalaspidomorphi;Sí;EN
De Los Ríos (XIV);Carmelita;Percilia gillissi;Animalia;Actinopterygii;Sí;EN
De Los Ríos (XIV);Caracol de árbol araucano, caracol de árbol;Plectostylus araucanus;Animalia;Gastropoda;Sí;EN
De Los Ríos (XIV);Mosca florícola valdiviana gigante;Valdiviomyia gigantea;Animalia;Insecta;Sí;EN
De Los Lagos (X);Liguay, sanguijuela gigante valdiviana;Americobdella valdiviana;Animalia;Clitellata;Sí;EN
De Los Lagos (X);Peladilla;Aplochiton zebra;Animalia;Actinopterygii;Sí;EN
De Los Lagos (X);Cochinilla de fieltro (genérico);Exallococcus laureliae;Animalia;Insecta;Sí;EN
De Los Lagos (X);Puye;Galaxias globiceps;Animalia;Actinopterygii;Sí;EN-RARA
De Los Lagos (X);Zorro de Chiloé;Lycalopex fulvipes;Animalia;Mammalia;Sí;EN
De Los Lagos (X);Lamprea de agua dulce;Mordacia lapicida;Animalia;Cephalaspidomorphi;Sí;EN
De Los Lagos (X);Carmelita;Percilia gillissi;Animalia;Actinopterygii;Sí;EN
De Los Lagos (X);Mosca florícola valdiviana gigante;Valdiviomyia gigantea;Animalia;Insecta;Sí;EN
De Los Lagos (X);Camarón;Virilastacus rucapihuelensis;Animalia;Malacostraca;Sí;EN
Aysén (XI);Peladilla;Aplochiton zebra;Animalia;Actinopterygii;Sí;EN
Aysén (XI);Lamprea de agua dulce;Mordacia lapicida;Animalia;Cephalaspidomorphi;Sí;EN
Insular;Peladilla;Aplochiton zebra;Animalia;Actinopterygii;Sí;EN
Insular;Lamprea de agua dulce;Mordacia lapicida;Animalia;Cephalaspidomorphi;Sí;EN
Juan Fernández;Mosca florícola de Juan Fernández;Allograpta robinsoniana;Animalia;Insecta;Sí;EN
Juan Fernández;Caracol terrestre Amphidoxa;Amphidoxa arctispira;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre Amphidoxa;Amphidoxa ceroides;Animalia;Gastropoda;Sí;EN
