Especie ID;Etiqueta;Nombre científico ;Nombre común;Clase;RCE;Titular;Fuente;Link;Usa N. Científico;Usa N. Común;Es protagonsita;Tiene foto;Endémica
82;82 - Alsodes tumultuosus;Alsodes tumultuosus;Sapo;Amphibia;EN-RARA;Serpiente de cola larga se convierte en la nueva embajadora de la Fauna Chilena 2026;Diario Usach;https://www.diariousach.cl/serpiente-de-cola-larga-se-convierte-en-la-nueva-embajadora-de-la-fauna;1;1;1;1;Sí
83;83 - Alsodes valdiviensis;Alsodes valdiviensis;Rana de pecho espinoso de Cordillera Pelada;Amphibia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
84;84 - Alsodes vanzolinii;Alsodes vanzolinii;Sapo de Vanzolini;Amphibia;EN-RARA;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
85;85 - Alsodes verrucosus;Alsodes verrucosus;Sapo de pecho espinoso de verrugas;Amphibia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
86;86 - Alyma quiriquinaensis;Alyma quiriquinaensis;Típula pintada;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
87;87 - Americobdella valdiviana;Americobdella valdiviana;Liguay, sanguijuela gigante valdiviana;Clitellata;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
88;88 - Amphidoxa arctispira;Amphidoxa arctispira;Caracol terrestre Amphidoxa;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
89;89 - Amphidoxa ceroides;Amphidoxa ceroides;Caracol terrestre Amphidoxa;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
90;90 - Amphidoxa helicophantoides;Amphidoxa helicophantoides;Caracol terrestre Amphidoxa;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
91;91 - Amphidoxa marmorella;Amphidoxa marmorella;Caracol terrestre Amphidoxa;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
92;92 - Amphidoxa pusio;Amphidoxa pusio;Caracol terrestre Amphidoxa;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
93;93 - Amphidoxa quadrata;Amphidoxa quadrata;Caracol terrestre Amphidoxa;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
94;94 - Amphidoxa selkirki;Amphidoxa selkirki;Caracol terrestre Amphidoxa;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
95;95 - Amphidoxa tessellata;Amphidoxa tessellata;Caracol terrestre Amphidoxa;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
96;96 - Anairetes fernandezianus;Anairetes fernandezianus;Cachudito de Juan Fernández ;Aves;EN-RARA;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
97;97 - Aplochiton marinus;Aplochiton marinus;Peladilla;Actinopterygii;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
98;98 - Aplochiton zebra;Aplochiton zebra;Peladilla;Actinopterygii;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
99;99 - Apterodorcus tristis;Apterodorcus tristis;Mancapollo, pica pollo, borracho, borrachito, buey;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
100;100 - Ardenna creatopus;Ardenna creatopus;Fardela blanca;Aves;EN;Isla Mocha celebra la llegada de la fardela blanca con masiva participación comunitaria;Diario Concepción;https://www.diarioconcepcion.cl/ciudad/2025/11/27/isla-mocha-celebra-la-llegada-de-la-fardela-blanca-con-masiva-participacion-comunitaria.html;1;1;1;1;Sí
101;101 - Bolborhinum trilobulicorne;Bolborhinum trilobulicorne;Escarabajo;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
102;102 - Brachistosternus cepedai;Brachistosternus cepedai;Escorpión de Cepeda;Arachnida;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
103;103 - Bullockia maldonadoi;Bullockia maldonadoi;Bagrecito;Actinopterygii;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
104;104 - Callyntra cantillana;Callyntra cantillana;Cascarudo de Cantillana;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
105;105 - Callyntra multicosta;Callyntra multicosta;Cascarudo de Las Docas;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
106;106 - Callyntra penai;Callyntra penai;Cascarudo de Peña;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
107;107 - Callyntra planiuscula;Callyntra planiuscula;Cascarudo de la Plata;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
108;108 - Charopa involuta;Charopa involuta;Caracol terrestre Charopa;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
109;109 - Charopa masafuerae;Charopa masafuerae;Caracol terrestre Charopa;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
110;110 - Cheirodon kiliani;Cheirodon kiliani;Pocha;Actinopterygii;EN-RARA;Chinchilla de cola larga: La especie que aplazó una mega desaladora y que lucha por no desaparecer otra vez;El Desconcierto;https://eldesconcierto.cl/2026/01/02/chinchilla-de-cola-larga-la-especie-que-aplazo-una-mega-desaladora-y-que-lucha-por-no-desaparecer-otra-vez;1;1;1;1;Sí
110;110 - Cheirodon kiliani;Cheirodon kiliani;Pocha;Actinopterygii;EN-RARA;Mayor planta desalinizadora suspende su tramitación ambiental hasta febrero de 2026 para estudiar a chinchilla lanígera;La Tercera;https://www.latercera.com/pulso/noticia/mayor-planta-desalinizadora-suspende-su-tramitacion-ambiental-hasta-febrero-de-2026-para-estudiar-a-chinchilla-lanigera/;1;1;1;1;Sí
110;110 - Cheirodon kiliani;Cheirodon kiliani;Pocha;Actinopterygii;EN-RARA;Chinchillas atrasan aprobación ambiental de mayor desaladora de Chile;Ex-Ante;https://www.ex-ante.cl/las-dudas-que-persisten-en-la-evaluacion-ambiental-de-la-mayor-desaladora-en-chile/;1;1;0;1;Sí
111;111 - Chileputo chilensis;Chileputo chilensis;Chanchito blanco de la araucaria;Insecta;EN ;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
112;112 - Chinchilla lanigera;Chinchilla lanigera;Chinchilla costina;Mammalia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
113;113 - Chrysiptera rapanui;Chrysiptera rapanui;Mamata;Actinopterygii;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
114;114 - Cnemalobus hirsutus;Cnemalobus hirsutus;;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
115;115 - Cnemalobus nuria;Cnemalobus nuria;;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
116;116 - Conognatha azarae fisheri;Conognatha azarae fisheri;Balita, insecto joya de Fisher;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
117;117 - Conognatha leechi;Conognatha leechi;Balita, insecto joya de Leech;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
118;118 - Diplomystes camposensis;Diplomystes camposensis;Tollo;Actinopterygii;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
119;119 - Diplomystes chilensis;Diplomystes chilensis;Tollo de agua dulce;Actinopterygii;EN-RARA;Suben precios del pescado para consumidores, pero autoridades reportan estabilidad en mayorista: así están las tarifas antes de Semana Santa;Infobae;https://www.infobae.com/colombia/2026/03/25/suben-precios-del-pescado-para-consumidores-pero-autoridades-reportan-estabilidad-en-mayorista-asi-estan-las-tarifas-antes-de-semana-santa/;0;1;0;1;Sí
119;119 - Diplomystes chilensis;Diplomystes chilensis;Tollo de agua dulce;Actinopterygii;EN-RARA;El 80% de los “tollos” comercializados en el norte de Chile son tiburones juveniles en peligro de extinción;Cooperativa Ciencia;https://www.cooperativaciencia.cl/medio-ambiente/2026/03/23/el-80-de-los-tollos-comercializados-en-el-norte-de-chile-son-tiburones-juveniles-en-peligro-de-extincion/;1;1;1;1;Sí
119;119 - Diplomystes chilensis;Diplomystes chilensis;Tollo de agua dulce;Actinopterygii;EN-RARA;Investigadores de la UA alertan sobre crítico estado de tiburones costeros consumidos como “tollos” en el norte de Chile;Desierto FM;https://www.desiertofm.cl/investigadores-de-la-ua-alertan-sobre-critico-estado-de-tiburones-costeros-consumidos-como-tollos-en-el-norte-de-chile/;1;1;1;1;Sí
119;119 - Diplomystes chilensis;Diplomystes chilensis;Tollo de agua dulce;Actinopterygii;EN-RARA;Población en estado crítico: Científicos alertan por consumo de tiburones como 'tollo' o 'albacorilla' en Antofagasta;SoyChile.cl;https://www.soychile.cl/antofagasta/sociedad/2026/03/10/942972/cientifico-alerta-costa-antofagasta.html;1;1;1;1;Sí
119;119 - Diplomystes chilensis;Diplomystes chilensis;Tollo de agua dulce;Actinopterygii;EN-RARA;Con el nombre de tollos, Chile consume a ciegas tiburones en peligro crítico de extinción;Mongabay Latam;https://es.mongabay.com/2026/03/tollos-chile-consume-tiburones-peligro-critico-extincion/;1;1;1;1;Sí
120;120 - Diplomystes nahuelbutaensis;Diplomystes nahuelbutaensis;Tollo ;Actinopterygii;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
121;121 - Enodisomacris curtipennis;Enodisomacris curtipennis;"Langosta de alas cortas; langosta de Ureta; langosta de Lila; langosta de La Chimba
";Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
122;122 - Erichius virgatus;Erichius virgatus;Borrachito de Tolhuaca, borrachito listado de Tolhuaca;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
123;123 - Euathlus affinis;Euathlus affinis;Tarántula afín de Santiago;Arachnida;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
124;124 - Eupsophus altor;Eupsophus altor;Rana de hojarasca de Oncol;Amphibia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
125;125 - Eupsophus contulmoensis;Eupsophus contulmoensis;Sapo de Contulmo;Amphibia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
126;126 - Eupsophus insularis;Eupsophus insularis;Sapo de Isla Mocha;Amphibia;EN-RARA;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
127;127 - Eupsophus migueli;Eupsophus migueli;Sapo de Miguel;Amphibia;EN-RARA;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
128;128 - Eupsophus nahuelbutensis;Eupsophus nahuelbutensis;Sapo de Nahuelbuta;Amphibia;EN-RARA;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
129;129 - Eupsophus septentrionalis;Eupsophus septentrionalis;Ranita de Los Queules;Amphibia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
130;130 - Exallococcus laureliae;Exallococcus laureliae;Cochinilla de fieltro (genérico);Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
131;131 - Falco sparverius fernandenzis;Falco sparverius fernandenzis;Cernícalo de Juan Fernández;Aves;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
132;132 - Fernandezia bulimoides;Fernandezia bulimoides;Caracol terrestre de Juan Fernández;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
133;133 - Fernandezia conifera;Fernandezia conifera;Caracol terrestre de Juan Fernández;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
134;134 - Fernandezia consimilis;Fernandezia consimilis;Caracol terrestre de Juan Fernández;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
135;135 - Fernandezia cylindrella;Fernandezia cylindrella;Caracol terrestre de Juan Fernández;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
136;136 - Fernandezia diaphana;Fernandezia diaphana;Caracol terrestre de Juan Fernández;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
137;137 - Fernandezia expansa;Fernandezia expansa;Caracol terrestre de Juan Fernández;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
138;138 - Fernandezia inornata;Fernandezia inornata;Caracol terrestre de Juan Fernández;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
139;139 - Fernandezia longa;Fernandezia longa;Caracol terrestre de Juan Fernández;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
140;140 - Fernandezia philippiana;Fernandezia philippiana;Caracol terrestre de Juan Fernández;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
141;141 - Fernandezia splendida;Fernandezia splendida;Caracol terrestre de Juan Fernández;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
142;142 - Fernandezia tryoni;Fernandezia tryoni;Caracol terrestre de Juan Fernández;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
143;143 - Fernandezia wilsoni;Fernandezia wilsoni;Caracol terrestre de Juan Fernández;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
144;144 - Galaxias globiceps;Galaxias globiceps;Puye;Actinopterygii;EN-RARA;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
145;145 - Gyriosomus angustus;Gyriosomus angustus;Vaquita del desierto de Paposo;Insecta;EN;Vaquitas del desierto, las discretas y esenciales guardianas de la flora desértica;Ladera Sur;https://laderasur.com/articulo/vaquitas-del-desierto-las-discretas-y-esenciales-guardianas-de-la-flora-desertica/;1;1;1;1;Sí
145;145 - Gyriosomus angustus;Gyriosomus angustus;Vaquita del desierto de Paposo;Insecta;EN;Vaquitas del desierto: escarabajos claves para la salud ecológica del Desierto Florido en Chile;Noticias Ambientales;https://noticiasambientales.com/ciencia/vaquitas-del-desierto-escarabajos-claves-para-la-salud-ecologica-del-desierto-florido-en-chile/;1;1;1;1;Sí
146;146 - Heleobia ascotanensis;Heleobia ascotanensis;Caracol;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
147;147 - Henicotherus francisca;Henicotherus francisca;No conocido;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
148;148 - Homoeomma orellanai;Homoeomma orellanai;Tarántula enana de penacho amarillo, araña pollito;Arachnida;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
149;149 - Insuetophrynus acarpicus;Insuetophrynus acarpicus;Sapo ;Amphibia;EN-RARA;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
150;150 - Lasia pulla;Lasia pulla;Mosca colibrí enana;Insecta;EN;¿Conoces a la mosquita colibrí?: El singular polinizador nativo de Chile;reporteagricola.cl;https://www.reporteagricola.cl/noticia/noticias/2025/12/mosquita-colibri-polinizador-nativo-chile;1;1;1;1;Sí
151;151 - Liolaemus buergeri;Liolaemus buergeri;Lagartija de Bürger;Reptilia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
152;152 - Liolaemus carlosgarini;Liolaemus carlosgarini;Lagartija de Garín;Reptilia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
153;153 - Liolaemus chillanensis;Liolaemus chillanensis;Lagarto de Chillán;Reptilia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
154;154 - Liolaemus fabiani;Liolaemus fabiani;Lagartija de Fabián;Reptilia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
155;155 - Liolaemus foxi;Liolaemus foxi;Lagartija de Fox;Reptilia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
156;156 - Liolaemus frassinettii;Liolaemus frassinettii;Lagartija del Cerro Cantillana, lagarto de Frassinetti;Reptilia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
157;157 - Liolaemus leftrarui;Liolaemus leftrarui;Lagartija de Leftraru, Leftraru’s Lizard (Inglés);Reptilia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
158;158 - Liolaemus leopardinus;Liolaemus leopardinus;Lagarto leopardo;Reptilia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
159;159 - Liolaemus manueli;Liolaemus manueli;Lagartija de Manuel;Reptilia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
160;160 - Liolaemus nigrocoeruleus;Liolaemus nigrocoeruleus;Lagartija negro azulada, Black Bluish Lizard (Inglés);Reptilia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
161;161 - Liolaemus poconchilensis;Liolaemus poconchilensis;Lagarto de Poconchile;Reptilia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
162;162 - Liolaemus scorialis;Liolaemus scorialis;Lagarto del escorial, Slag Lizard (Inglés);Reptilia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
163;163 - Liolaemus septentrionalis;Liolaemus septentrionalis;Lagartija pintada septentrional, Northern Painted Lizard (Inglés);Reptilia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
164;164 - Liolaemus ubaghsi;Liolaemus ubaghsi;Lagarto leopardo de Ubaghs, Ubaghs’ Leopard Lizard (Inglés);Reptilia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
165;165 - Liolaemus villaricensis;Liolaemus villaricensis;Lagartija;Reptilia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
166;166 - Luispenaia paposo;Luispenaia paposo;Pololo de Paposo;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
167;167 - Lycalopex fulvipes;Lycalopex fulvipes;Zorro de Chiloé;Mammalia;EN;Seminario sobre el Zorro de Darwin se realizará en la Universidad Católica de Temuco;Alerta Noticias Temuco.cl;https://alertanoticiastemuco.cl/2025/12/10/seminario-uct-conservacion-zorro-de-darwin/;0;1;1;1;Sí
167;167 - Lycalopex fulvipes;Lycalopex fulvipes;Zorro de Chiloé;Mammalia;EN;Avistamiento de zorro chilote en Mariquina abre la opción de un posible corredor biológico en Los Ríos;RioenLinea;https://www.rioenlinea.cl/avistamiento-de-zorro-chilote-en-mariquina-abre-la-opcion-de-un-posible-corredor-biologico-en-los-rios/;1;1;1;1;Sí
167;167 - Lycalopex fulvipes;Lycalopex fulvipes;Zorro de Chiloé;Mammalia;EN;Confirman presencia de zorro chilote en Mariquina tras nuevos registros obtenidos por cámaras trampa;noticiaslosrios.cl;https://www.noticiaslosrios.cl/2025/12/09/confirman-presencia-de-zorro-chilote-en-mariquina-tras-nuevos-registros-obtenidos-por-camaras-trampa/;1;1;1;1;Sí
167;167 - Lycalopex fulvipes;Lycalopex fulvipes;Zorro de Chiloé;Mammalia;EN;Presentan en Chiloé el plan oficial para recuperar al zorro chilote;Periódico El Insular;https://elinsular.cl/2025/12/08/presentan-en-chiloe-el-plan-oficial-para-recuperar-al-zorro-chilote/;0;1;1;1;Sí
167;167 - Lycalopex fulvipes;Lycalopex fulvipes;Zorro de Chiloé;Mammalia;EN;Plan RECOGE para el zorro chilote ya es oficial: Chile activa ruta para evitar su extinción;24horas;https://www.24horas.cl/conciencia-24-7/sostenibilidad/zorro-chilote-plan-recoge;1;1;1;1;Sí
167;167 - Lycalopex fulvipes;Lycalopex fulvipes;Zorro de Chiloé;Mammalia;EN;¡Una especie endémica está protegida!: Plan RECOGE para el zorro chilote ya es oficial;MMA – Ministerio del Medio Ambiente;https://mma.gob.cl/una-especie-endemica-esta-protegida-plan-recoge-para-el-zorro-chilote-ya-es-oficial/;1;1;1;1;Sí
167;167 - Lycalopex fulvipes;Lycalopex fulvipes;Zorro de Chiloé;Mammalia;EN;Oficializan plan para salvar al zorro chilote de la extinción;Cooperativa Ciencia;https://www.cooperativaciencia.cl/medio-ambiente/2025/11/20/oficializan-plan-para-salvar-al-zorro-chilote-de-la-extincion/;1;1;1;1;Sí
167;167 - Lycalopex fulvipes;Lycalopex fulvipes;Zorro de Chiloé;Mammalia;EN;El zorro chilote ya cuenta con protección oficial: Plan RECOGE entra en vigencia para evitar su extinción;Publimetro;https://www.publimetro.cl/noticias/2025/11/20/el-zorro-chilote-ya-cuenta-con-proteccion-oficial-plan-recoge-entra-en-vigencia-para-evitar-su-extincion/;1;1;1;1;Sí
168;168 - Lynceus huentelauquensis;Lynceus huentelauquensis;Camarón almeja de Huentelauquén;Branchiopoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
169;169 - Mordacia lapicida;Mordacia lapicida;Lamprea de agua dulce;Cephalaspidomorphi;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
170;170 - Nematogenys inermis;Nematogenys inermis;Bagre grande;Actinopterygii;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
171;171 - Neuquenaphis staryi;Neuquenaphis staryi;"No tiene, se propone ""pulgón del Ruíl""";Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
172;172 - Nycterinus angusticollis;Nycterinus angusticollis;Insecto joya;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
173;173 - Nycterinus borealis;Nycterinus borealis;Cucaracho negro;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
174;174 - Nycterinus mannerheimi;Nycterinus mannerheimi;Tenebrio de Mannerheim, teatino de Mannerheim;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
175;175 - Oogenius castilloi;Oogenius castilloi;;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
176;176 - Oogenius penai;Oogenius penai;;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
177;177 - Orestias ascotanensis;Orestias ascotanensis;Karachi, orestias;Actinopterygii;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
178;178 - Orestias chungarensis;Orestias chungarensis;Karachi, orestias;Actinopterygii;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
179;179 - Orestias laucaensis;Orestias laucaensis;Karachi, orestias;Actinopterygii;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
180;180 - Orestias parinacotensis;Orestias parinacotensis;Karachi, orestias;Actinopterygii;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
181;181 - Paropisthopatus umbrinus;Paropisthopatus umbrinus;Gusano aterciopelado, onicóforo (genérico);Udeonycophora;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
182;182 - Percilia gillissi;Percilia gillissi;Carmelita;Actinopterygii;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
183;183 - Percilia irwini;Percilia irwini;Carmelita de Concepción;Actinopterygii;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
184;184 - Phyllopetalia altarensis;Phyllopetalia altarensis;;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
185;185 - Phymaturus bibronii;Phymaturus bibronii;Matuasto de Bibron;Reptilia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
186;186 - Phymaturus darwini;Phymaturus darwini;Matuasto de Darwin, lagarto de cola gruesa;Reptilia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
187;187 - Phymaturus maulense;Phymaturus maulense;Matuasto;Reptilia;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
188;188 - Plectostylus araucanus;Plectostylus araucanus;Caracol de árbol araucano, caracol de árbol;Gastropoda;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
189;189 - Praocis aenea;Praocis aenea;Vaquita;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
190;190 - Praocis bicentenario;Praocis bicentenario;Vaquita del bicentenario;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
191;191 - Pristidactylus valeriae;Pristidactylus valeriae;Gruñidor de Valeria;Reptilia;EN;"Estudio advierte las amenazas que enfrenta el ""gruñidor de Valeria"", reptil endémico de Chile";Cooperativa Ciencia;1;1;1;1;1;Sí
191;191 - Pristidactylus valeriae;Pristidactylus valeriae;Gruñidor de Valeria;Reptilia;EN;Pristidactylus en peligro: investigación UOH alerta riesgos críticos sobre el “gruñidor de Valeria” y su microhábitat;Universidad de O'Higgins;1;1;1;1;1;Sí
191;191 - Pristidactylus valeriae;Pristidactylus valeriae;Gruñidor de Valeria;Reptilia;EN;Pingüino de Humboldt, lagarto gruñidor y plantas endémicas de Juan Fernández aumentan riesgo de extinción;The Clinic;1;1;1;0;1;Sí
