Source.Name;title;source/name;link;iso_date.1;source/authors/0;Revisada;;
convertcsv (29).csv;Detectan primer pingüino de Humboldt albino en el Biobío;24horas;https://www.24horas.cl/conciencia-24-7/sostenibilidad/pinguino-de-humboldt-albino-biobio;20-01-2026;;*;;
convertcsv (29).csv;El pingüino de Humboldt es declarado Monumento Natural y elevan su nivel de protección en Chile;Radio Concierto Chile - Sólo grandes canciones;https://www.concierto.cl/2026/02/el-pinguino-de-humboldt-es-declarado-monumento-natural-y-elevan-su-nivel-de-proteccion-en-chile/;16-02-2026;;*;;
convertcsv (29).csv;El pingüino de Humboldt es declarado Monumento Natural en Chile;Sabes.cl;https://sabes.cl/2026/02/14/el-pinguino-de-humboldt-es-declarado-monumento-natural-en-chile/;14-02-2026;;*;;
convertcsv (29).csv;WWF Chile presentó propuestas en el marco de la consulta pública para declarar al pingüino de Humboldt como Monumento Natural;Infogate.cl;https://infogate.cl/2026/02/wwf-chile-presento-propuestas-en-el-marco-de-la-consulta-publica-para-declarar-al-pinguino-de-humboldt-como-monumento-natural/;03-02-2026;;*;;
convertcsv (29).csv;Protección del pingüino de Humboldt y descontaminación del lago Villarrica: las razones del Ejecutivo para retirar 43 decretos ambientales;El Dínamo;https://www.eldinamo.cl/sociedad/medio-ambiente/2026/03/17/proteccion-del-pinguino-de-humboldt-y-descontaminacion-del-lago-villarrica-las-razones-del-ejecutivo-para-retirar-43-decretos-ambientales/;17-03-2026;;*;;
convertcsv (29).csv;Para aumentar su protección: El Pingüino de Humboldt es declarado Monumento Nacional en Chile;pudahuel.cl;https://www.pudahuel.cl/noticias/2026/02/para-aumentar-su-proteccion-el-pinguino-de-humboldt-es-declarado-monumento-nacional-en-chile/;14-02-2026;;*;;
convertcsv (29).csv;Ataque y muerte de pingüino de Humboldt reabre urgente llamado a la tenencia responsable y protección de fauna silvestre;El Diario de Antofagasta;https://www.diarioantofagasta.cl/el-pais/218188/ataque-y-muerte-de-pinguino-de-humboldt-reabre-urgente-llamado-a-la-tenencia-responsable-y-proteccion-de-fauna-silvestre/;29-11-2025;;*;;
convertcsv (29).csv;“Andaba solo en el agua”: Investigación registró primer hallazgo de pingüino de Humboldt albino en el Biobío;The Clinic;https://www.theclinic.cl/2026/01/22/andaba-solo-en-el-agua-investigacion-registro-primer-hallazgo-de-pinguino-de-humboldt-albino-en-el-biobio/;22-01-2026;;*;;
convertcsv (29).csv;Gobierno retira más de 40 decretos ambientales que creaban parques nacionales y otorgaban protección a la ranita de Darwin y el pingüino de Humboldt;The Clinic;https://www.theclinic.cl/2026/03/17/gobierno-retira-mas-de-40-decretos-ambientales-que-creaban-parques-nacionales-y-otorgaban-proteccion-a-la-ranita-de-darwin-y-el-pinguino-de-humboldt/;17-03-2026;;*;;
convertcsv (29).csv;Pingüino de Humboldt y ranita de Darwin: Revisa el estado actual de los 43 decretos ambientales retirados por Kast;El Desconcierto;https://eldesconcierto.cl/2026/03/20/pinguino-de-humboldt-y-ranita-de-darwin-revisa-el-estado-actual-de-los-43-decretos-ambientales-retirados-por-kast;20-03-2026;Nicole Donoso;*;;
convertcsv (29).csv;Pingüino de Humboldt es declarado monumento natural para reforzar su protección en Chile;VLN Radio;https://www.vlnradio.cl/noticias/actualidad/2026/02/15/pinguino-de-humboldt-es-declarado-monumento-natural-para-reforzar-su-proteccion-en-chile/;15-02-2026;;*;;
convertcsv (29).csv;Chile declara oficialmente al Pingüino de Humboldt «en peligro de extinción»;Radio Ñuble;https://radionuble.cl/v1/2025/10/23/chile-declara-oficialmente-al-pinguino-de-humboldt-en-peligro-de-extincion/;23-10-2025;Cristóbal Vaccaro;*;;
convertcsv (29).csv;Debate ambiental en Chile: Ranita de Darwin y Pingüino de Humboldt en riesgo;Radio Canal 95;https://www.canal95.cl/nacional/debate-ambiental-chile-ranita-darwin-pinguino-humboldt-riesgo;17-03-2026;;*;;
